text,entities,id,label,start_offset,end_offset,text_char_length,text_word_count,label_encoded
"This post is also available in:      日本語 (Japanese)  CTB-Locker is a well-known ransomware Trojan used by crimeware groups to encrypt files on the victim's endpoints and demand ransom payment to decrypt the files back to their original state, but most antiviruses detect it by mistake as CryptoLocker (only one vendor correctly detects it as CTB-Locker).","[{'id': 45800, 'label': 'malware', 'start_offset': 288, 'end_offset': 300}, {'id': 45801, 'label': 'malware', 'start_offset': 53, 'end_offset': 63}, {'id': 45802, 'label': 'malware', 'start_offset': 342, 'end_offset': 352}]",45800.0,malware,4.500759819358846,4.314124628725667,354,2.762636830281457,17
The attack vector is very basic and repeats itself: It begins with a spear phishing email sent with SCR attachments (double zipped).,"[{'id': 48941, 'label': 'attack-pattern', 'start_offset': 69, 'end_offset': 115}]",48941.0,attack-pattern,0.3379479662528706,0.9336304635045064,132,-0.041461584685332405,12
The first known campaign was launched by Crimeware on November 2014.,"[{'id': 45806, 'label': 'TIME', 'start_offset': 55, 'end_offset': 68}, {'id': 48942, 'label': 'malware', 'start_offset': 42, 'end_offset': 51}]",45806.0,TIME,0.07183214002691783,0.0748022161239954,69,-0.9761610563409289,10
"A very serious campaign was launched between January 19, 2015 and January 20, 2015, and  Palo Alto Networks Enterprise Security Platform has discovered more than 1000 unique attacks since.","[{'id': 22, 'label': 'identity', 'start_offset': 90, 'end_offset': 108}, {'id': 44570, 'label': 'TIME', 'start_offset': 46, 'end_offset': 62}, {'id': 44571, 'label': 'TIME', 'start_offset': 67, 'end_offset': 83}]",22.0,identity,0.7371217055917997,0.8057198734691111,189,0.5533471700045927,15
Palo Alto Networks Enterprise Security Platform offers multilayer protection to prevent this attack along with other attacks without the need for prior knowledge of the specific attack.,"[{'id': 31, 'label': 'identity', 'start_offset': 1, 'end_offset': 19}]",31.0,identity,-0.9546146182731856,-0.8205719141237714,186,0.3834018115217569,15
We can see here that server hostnames were changed but they didn’t change the server IP address – see the attached file with results for files from last week’s campaign from VirusTotal.,"[{'id': 45807, 'label': 'SOFTWARE', 'start_offset': 175, 'end_offset': 185}]",45807.0,SOFTWARE,2.35282493624937,2.212736363858459,186,0.8082652077288462,9
"This campaign started earlier today, and the malware uses the same techniques and even the same IOCs:  And only added two new hostnames:","[{'id': 45808, 'label': 'TIME', 'start_offset': 23, 'end_offset': 36}]",45808.0,TIME,-0.5364326056324028,-0.5099319097520972,137,0.043511094556085456,10
"We found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in VirusTotal and most of them barely detected by one vendor (few have 4/57 detection rate).","[{'id': 44574, 'label': 'SOFTWARE', 'start_offset': 122, 'end_offset': 132}]",44574.0,SOFTWARE,1.3453864512511202,1.2442704678761805,211,1.1481559246945177,9
"The other list is of last week’s campaign by the same attackers (exhaustive or close to it).  Palo Alto Networks Enterprise Security Platform would have stopped this ransomware attack campaign thanks to the platform’s unique integration between the network, endpoint and the cloud to maximize security.","[{'id': 45809, 'label': 'identity', 'start_offset': 94, 'end_offset': 112}]",45809.0,identity,0.8131547987992148,0.8788116392036227,302,1.9978827171086964,15
It’s a subject Unit 42 has been tracking in the past year:,"[{'id': 45810, 'label': 'identity', 'start_offset': 15, 'end_offset': 22}]",45810.0,identity,-0.6884987920472329,-0.7657530898228877,58,-0.891188377099511,15
"Back in the early 2000s, some of the earliest “botnet herders” made their income by relaying spam emails through infected computers.","[{'id': 45768, 'label': 'attack-pattern', 'start_offset': 93, 'end_offset': 104}, {'id': 44575, 'label': 'TIME', 'start_offset': 12, 'end_offset': 23}]",45768.0,attack-pattern,0.794146525497361,0.7326281077345996,132,-0.12643426392675028,12
"In the mid-2000s, criminals made great profits from using Banking Trojans to steal credentials for online banking websites, and subsequently draining the accounts’ associated funds.","[{'id': 45811, 'label': 'TIME', 'start_offset': 7, 'end_offset': 16}, {'id': 45812, 'label': 'attack-pattern', 'start_offset': 77, 'end_offset': 94}]",45811.0,TIME,-0.840564978462063,-0.8753907384246551,181,0.2134564530389212,10
"Figure 1 is a capture from a book I wrote with some colleagues in 2008, “Cyber Fraud: Tactics, Techniques, and Procedures.”","[{'id': 51804, 'label': 'TIME', 'start_offset': 66, 'end_offset': 70}]",51804.0,TIME,0.2809231463473093,0.1113480989912512,123,-0.12643426392675028,10
It shows the price that a criminal enterprise called IFRAME DOLLARS was charging to infect computers in various countries at that time.,"[{'id': 44577, 'label': 'threat-actor', 'start_offset': 53, 'end_offset': 67}]",44577.0,threat-actor,0.03381559342321029,0.05652927469036751,135,-0.041461584685332405,18
"In 2007, the infection of a system in Australia went for US$0.60, while an infection in Poland was only a fraction of the cost, at US$0.096.","[{'id': 45814, 'label': 'location', 'start_offset': 38, 'end_offset': 48}, {'id': 45815, 'label': 'location', 'start_offset': 88, 'end_offset': 94}, {'id': 45813, 'label': 'TIME', 'start_offset': 3, 'end_offset': 7}]",45814.0,location,-0.2513085061045962,-0.29065661254856245,140,0.29842913228033907,16
The difference in price represented the difference in value: criminals were able to make more money through a Banking Trojan account takeover from an Australian infection than they could in Poland.,"[{'id': 45771, 'label': 'malware', 'start_offset': 110, 'end_offset': 124}, {'id': 45772, 'label': 'attack-pattern', 'start_offset': 125, 'end_offset': 141}, {'id': 44579, 'label': 'location', 'start_offset': 190, 'end_offset': 196}, {'id': 44580, 'label': 'location', 'start_offset': 150, 'end_offset': 160}]",45771.0,malware,1.117287171628875,1.0980869364071575,197,0.7232925284874283,17
Fast forward five years to 2013 and the rise of the Ransomware business model,"[{'id': 44581, 'label': 'TIME', 'start_offset': 27, 'end_offset': 31}]",44581.0,TIME,-0.46039951242498767,-0.6012966169202366,77,-0.7212430186166753,10
"Anyone who’s been paying attention to cybercrime since 2013 is aware of the ransomware surge, infecting systems throughout the world and plaguing networks’ administrators.","[{'id': 44582, 'label': 'TIME', 'start_offset': 55, 'end_offset': 59}]",44582.0,TIME,0.07183214002691783,-0.08965425677865564,171,0.1284837737975033,10
"Here’s the chart for bitcoin over the last two years, showing a rise of 2,000% to 4,000% in the versus the U.S. dollar.","[{'id': 44585, 'label': 'SOFTWARE', 'start_offset': 21, 'end_offset': 28}]",44585.0,SOFTWARE,-0.5744491522361103,-0.6561154412211203,119,0.043511094556085456,9
"Figure 2: Price of bitcoin in U.S. dollars from CoinMarketCap  While botnets mining cryptocurrency is nothing new, the technique was much less profitable than using ransomware.","[{'id': 45817, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 26}, {'id': 45818, 'label': 'SOFTWARE', 'start_offset': 48, 'end_offset': 60}]",45817.0,SOFTWARE,-0.6124656988398178,-0.6926613240883761,176,0.29842913228033907,9
The one we see mined most by attackers is called Monero.,"[{'id': 45819, 'label': 'SOFTWARE', 'start_offset': 49, 'end_offset': 55}]",45819.0,SOFTWARE,-0.04221749978420478,-0.16274602251316722,56,-0.9761610563409289,9
"In contrast to bitcoin, Monero was designed to enable private transactions using a closed ledger, and its mining algorithm is still mined effectively by both PC CPUs and GPUs.","[{'id': 45820, 'label': 'SOFTWARE', 'start_offset': 24, 'end_offset': 30}]",45820.0,SOFTWARE,-0.517424332330549,-0.6195695583538645,175,0.5533471700045927,9
"As the chart below shows, Monero has risen even faster than bitcoin in price in the last two years, with more than a 30,000% gain in U.S. dollars.","[{'id': 45773, 'label': 'TIME', 'start_offset': 84, 'end_offset': 98}, {'id': 44583, 'label': 'SOFTWARE', 'start_offset': 26, 'end_offset': 32}, {'id': 44584, 'label': 'SOFTWARE', 'start_offset': 60, 'end_offset': 67}]",45773.0,TIME,0.6230720657806771,0.6229904591328322,146,0.4683744907631748,10
Figure 3: Price of Monero in U.S. dollars from CoinMarketCap,"[{'id': 45821, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 25}, {'id': 45823, 'label': 'SOFTWARE', 'start_offset': 47, 'end_offset': 60}]",45821.0,SOFTWARE,-0.6124656988398178,-0.710934265522004,62,-1.0611337355823467,9
A normal PC used to mine Monero can earn around US$0.25 per day at the current prices.,"[{'id': 45824, 'label': 'SOFTWARE', 'start_offset': 25, 'end_offset': 31}]",45824.0,SOFTWARE,-0.49841605902869524,-0.6012966169202366,86,-0.46632498089242175,9
"That number is small, but it’s important to note that it doesn’t matter what country or network a Monero miner is part of: computers in Australia and Poland mine at the same speed.","[{'id': 44586, 'label': 'SOFTWARE', 'start_offset': 98, 'end_offset': 104}, {'id': 44587, 'label': 'location', 'start_offset': 136, 'end_offset': 145}, {'id': 44588, 'label': 'location', 'start_offset': 150, 'end_offset': 156}]",44586.0,SOFTWARE,0.8891878920066298,0.7326281077345996,180,0.8932378869702641,9
"Every infected system is a profit-generating resource when mining Monero, and users are much less likely to identify their infection and remove the mining program than they would be with ransomware.","[{'id': 45825, 'label': 'SOFTWARE', 'start_offset': 66, 'end_offset': 72}]",45825.0,SOFTWARE,0.2809231463473093,0.14789398185850697,198,0.7232925284874283,9
"For context, in January, we found a Monero mining campaign that infected around 15 million systems, largely in the developing world.","[{'id': 45827, 'label': 'SOFTWARE', 'start_offset': 36, 'end_offset': 42}, {'id': 45826, 'label': 'TIME', 'start_offset': 16, 'end_offset': 23}, {'id': 45828, 'label': 'location', 'start_offset': 115, 'end_offset': 131}]",45827.0,SOFTWARE,-0.2893250527083038,-0.40029426115032984,132,-0.12643426392675028,9
"If these systems remained infected for at least 24 hours each, the attackers could have earned well over 3 million U.S. dollars in Monero.","[{'id': 260, 'label': 'TIME', 'start_offset': 39, 'end_offset': 56}, {'id': 44589, 'label': 'SOFTWARE', 'start_offset': 131, 'end_offset': 137}]",260.0,TIME,-0.23230023280274245,-0.14447308107953932,138,0.1284837737975033,10
"There is no single solution to stopping these attacks, but the same technologies and policies you use to prevent other malware infections will be effective.","[{'id': 44590, 'label': 'attack-pattern', 'start_offset': 119, 'end_offset': 137}]",44590.0,attack-pattern,1.2883616313455588,1.3356351750443198,156,0.2134564530389212,12
1. A marked increase in the price of Monero or other cryptocurrencies will draw even more attackers into this business.,"[{'id': 45829, 'label': 'SOFTWARE', 'start_offset': 37, 'end_offset': 43}]",45829.0,SOFTWARE,-0.27031677940645,-0.38202131971670195,119,-0.21140694316816813,9
"Compromising a user’s browser or a regular home PC will net the criminal an average system for mining coins, but higher-end systems will generate more income.","[{'id': 45830, 'label': 'attack-pattern', 'start_offset': 0, 'end_offset': 29}]",45830.0,attack-pattern,-0.9736228915750395,-0.6378424997874924,158,0.29842913228033907,12
It’s that time of year again – our researchers have analyzed and reviewed the threats and attacks that occurred during the first half of 2021.,"[{'id': 45831, 'label': 'TIME', 'start_offset': 123, 'end_offset': 141}]",45831.0,TIME,1.364394724552974,1.4087269407788314,142,0.2134564530389212,10
"Our report, Attacks From All Angles: 2021 Midyear Security Roundup, highlights many of the active attacks we saw, from APTs to ransomware to zero-day exploits.","[{'id': 44591, 'label': 'TIME', 'start_offset': 37, 'end_offset': 49}, {'id': 44592, 'label': 'attack-pattern', 'start_offset': 141, 'end_offset': 158}]",44591.0,TIME,-0.27031677940645,-0.27238367111493456,159,0.2134564530389212,10
"In our 1H’ 2021 Cyber Risk Index, we asked organizations what their top infrastructure risks are.","[{'id': 45832, 'label': 'identity', 'start_offset': 16, 'end_offset': 32}, {'id': 44593, 'label': 'TIME', 'start_offset': 7, 'end_offset': 15}]",45832.0,identity,-0.6694905187453791,-0.5830236754866087,97,-0.5512976601338396,15
"In our first half report, we highlight an APT group named TeamTNT that has been targeting clouds for quite a while now.","[{'id': 45833, 'label': 'threat-actor', 'start_offset': 58, 'end_offset': 65}]",45833.0,threat-actor,0.12885695993247914,0.019983391823111724,119,-0.041461584685332405,18
"They have focused most of their efforts on planting crypto-mining malware on cloud servers in an effort to mine Monero coins, but we have also seen them utilize DDoS IRC bots, steal cloud account credentials, and exfil data.","[{'id': 44594, 'label': 'SOFTWARE', 'start_offset': 112, 'end_offset': 118}, {'id': 44595, 'label': 'attack-pattern', 'start_offset': 161, 'end_offset': 165}, {'id': 44596, 'label': 'attack-pattern', 'start_offset': 176, 'end_offset': 207}, {'id': 44597, 'label': 'attack-pattern', 'start_offset': 213, 'end_offset': 223}, {'id': 44598, 'label': 'malware', 'start_offset': 52, 'end_offset': 73}]",44594.0,SOFTWARE,1.1553037182325827,0.9884492878053901,224,1.3181012831773533,9
"For example, we found that Conti operators use the cloud storage synchronization tool Rclone to upload files to the Mega cloud storage service.","[{'id': 377, 'label': 'malware', 'start_offset': 116, 'end_offset': 120}, {'id': 44599, 'label': 'threat-actor', 'start_offset': 27, 'end_offset': 42}, {'id': 44600, 'label': 'tools', 'start_offset': 86, 'end_offset': 92}, {'id': 44601, 'label': 'SOFTWARE', 'start_offset': 116, 'end_offset': 142}]",377.0,malware,1.2313368114399976,1.024995170672646,143,0.043511094556085456,17
"Similarly, DarkSide operators used Mega client for exfiltrating files to cloud storage, 7-Zip for archiving, and PuTTY application for network file transfers.","[{'id': 45834, 'label': 'threat-actor', 'start_offset': 11, 'end_offset': 29}, {'id': 45835, 'label': 'tools', 'start_offset': 35, 'end_offset': 46}, {'id': 45836, 'label': 'tools', 'start_offset': 88, 'end_offset': 93}, {'id': 45837, 'label': 'tools', 'start_offset': 113, 'end_offset': 118}]",45834.0,threat-actor,-0.764531885254648,-0.6378424997874924,158,-0.041461584685332405,18
